Discipline,Sorcery Path,Level,Power Name,Description,System,Source book,Page
Thaumaturgy,Weather Control,5,Lightning Strike,"Command over the weather has long been a staple
power of wizards both mortal and immortal, and this
path is said to predate the Tremere by millennia. The
proliferation of usage of this path outside the Clan tends
to confirm this theory; Weather Control is quite common
outside the Tremere, and even outside the Camarilla.
Lower levels of this path allow subtle manipulations,
while higher stages of mastery allow a vampire to
call up raging storms. The area affected by this power is
usually rather small, no more than three or four miles
(five to six kilometers) in diameter, and the changes
the power wreaks are not always immediate.","The number of successes rolled indicates how long it takes the weather magic to take effect. One success indicates an entire day may pass before the weather changes to the thaumaturge’s liking, while a roll with five successes brings an almost instant effect. The difficulty of the Willpower roll necessary to invoke
this power may change depending on the current local weather conditions and the weather the character is attempting to create. The Storyteller should impose a bonus (-1 or -2 difficulty) for relatively minor shifts, such as clearing away a light drizzle or calling lightning when a severe thunderstorm is already raging.
Conversely, a penalty (+1 or +2 difficulty) should be applied when the desired change is at odds with the current conditions, such as summoning the same light drizzle in the middle of the Sahara Desert or calling down lightning from a cloudless sky. If the character tries to strike a specific target with lightning, the player must roll Perception + Occult (difficulty 6 if the target is standing in open terrain, 8 if he is under shelter, or 10 if he is inside but near a window) in addition to the base roll to use Thaumaturgy. 
Otherwise the bolt goes astray, with the relative degree of failure of the roll determining where exactly the lightning strikes. Effects of the power default to the maximum area available unless the caster states that he’s attempting to affect a smaller area. At Storyteller discretion, an additional Willpower roll (difficulty 6) may be required to keep the change in the weather under control. Weather Control is not the sort of power that lends itself well to indoor application. While certain of the path’s uses (changes of temperature, high winds, and possibly even fog) do make a certain amount of sense in interior settings, others (precipitation of any sort, lightning) don’t. The difficulty for all rolls to use Weather Control indoors is at +2, and the Storyteller should feel free to disallow any proposed uses that don’t make sense.
Individual power descriptions are not provided for this path, as the general principle is fairly consistent. Instead, the strongest weather phenomenon possible at
each level is listed. 
• Fog: Vision is slightly impaired and sounds are muffled; a +1 difficulty is imposed on all Perception rolls that involve sight and hearing, and the effective range of all ranged attacks are halved. Light breeze: A +1 difficulty is
imposed on all Perception rolls that involve smell.
Minor temperature change: It is possible to raise or lower the local temperature by up to 10 degrees Fahrenheit or 5 degrees Celsius.
•• Rain or snow: As Fog, but Perception rolls are impaired to a much greater extent; the difficulty modifier for all such rolls rises to +2. In addition, the difficulty on all Drive rolls increases by two.
••• High Winds: The wind speed rises to around 30 miles per hour or 50 kilometers per hour, with gusts of up to twice that. Ranged attacks are much more difficult: + 1 to firearm attacks and +2 to thrown weapons and archery. In addition, during fierce gusts, Dexterity rolls (difficulty 6) may be required to keep characters from being knocked over by the winds. When gale-force winds are in effect, papers go flying, objects get picked up by the winds and hurled with abandon, and other suitably cinematic effects are likely. 
Moderate temperature change: The local temperature can be raised or lowered by up to 20 degrees Fahrenheit or 10 degrees Celsius.
•••• Storm: This has the effects of both Rain and High Winds.
••••• Lightning Strike: This attack inflicts 10 dice of lethal damage. Body armor does not add to the target’s dice pool to soak this attack.",V20 Corebook,228
Thaumaturgy,Mastery of the Mortal Shell,1,Vertigo,"The thaumaturge induces minor disorientation
and dizziness through subtle manipulations in the
subject's body. The physical discomfort is temporary
and minor, but a clever thaumaturge can use it on rivals
at the most inopportune times, causing them to
lose their aplomb.","A touch from the thaumaurge invokes
disorientation in he vicim. If successful,
all of he victim's physical actions are at
+1 difficulty for he duration of the power.
Subsequent uses of this Patth may extend
the duration, though the difficulty will not 
increase further.",Rites of the Blood,138
Thaumaturgy,Mastery of the Mortal Shell,2,Contortion,"With a touch, the thaumaturge causes a group
of her opponent's muscles to contract involuntarily,
reducing it to twitching fits. This effect is extremely
disconcerting to the subject, rendering the limb
or muscle group unusable.","By making physical contact with one of
the limbs of the target, the thaumaturge
renders it useless for the duration of Contortion.
A leg rendered useless makes standing difficult,
and the victim suffers from increased difficulty 
(+1 to +3, depending on circumstances) to
appropriate dexterity challenges related to her leg,
such as dancing or balancing on ledges. A contorted arm
 hangs lifeless at the subject's side. A useless head causes
speech and increases the difficulty of all Social rolls by 2 as
the facial muscles spasm out of control.",Rites of the Blood,138
Thaumaturgy,Mastery of the Mortal Shell,3,Seizure,"Seizure causes the body to erupt into a fit
of convulsions. All the muscles throughout
the body tighten uncontrollably, while the
victim foams at the mouth and spasms rack
him with agony. A mortal may even choke to
death as her tongue cuts off her air supply.","A light touch from the thaumaturge forces the very
unpleasant effects of this power upon the target.
For the duration of the seizure, a target's body writhes,
tormenting her to the point of incapacitation. Victims
suffer a +2 difficulty penalty to all physical actions. The
victim also suffers one level of bashing damage every 
turn, as her body helplessly twists itself. At the Storyteller 
discretion, the effects of this power may even cause 
deatth in extremely ill or wounded mortals.
Damage may be reduced as normal (alhough levels from
armor do not apply.)",Rites of the Blood,138
Thaumaturgy,Mastery of the Mortal Shell,4,Body Failure,"Thaumaturges wielding this frightful power gain
devastating insights into the workings of the body, 
allowing a complete shutdown of its system. This 
sudden biological overload often proves fatal to 
morttals and damaging to other supernatural beings. 
Body Failure has been used throughout the ages to 
afflict horrific ailments in inconspicuous ways that 
suggest a stroke or heart attack.","The thaumaturge no longer needs to touch
her victim to strike out with this level of mastery of the
Path. She may affect any target wihin her line of sight, 
but she must keep visual contactt with the victim at all 
times to maintain this effect. A succesful activation of 
this power grants effects similar to Seizure, except that 
damage is lethal (and thus not soakable by mortals) due 
to complete mass tissue and organ failure. Additionally, 
tthe victim suffers a +2 difficulty penalty to all actions. 
The subject may resist the effects of Body Failure via a
Stamina + Fortitude roll when the thaumaturge attempts
to strike the target (difficulty equals the thaumaturge's
current Willpower). Each success the victim gains on this 
roll reduces the duration of Body Failure by one turn.",Rites of the Blood,138-139
Thaumaturgy,Mastery of the Mortal Shell,5,Marionette,"The thaumaturge invoking Marionette gains such 
mastery over the body of others that she can magically 
seize control of another being and force her victim to act 
according to her own whims. This control is not as fine as 
the direct and personal command of the Dominate Power 
of Possession, but the thaumaturge's true body is not as 
vulnerable during the manipulation. Once established, 
the Marionette victim is under the complete sway of the 
thaumaturge, forced to perform as the thaumaturge's 
macabre pawn.","The thaumaturge may affect any target within 
her line of sight, but must keep visual contact with 
the victim at all times to maintain this effect. A subject 
may resist the effects of Marionette on a Stamina + 
Fortitude roll (difficulty equal to the thaumaturge's 
current Willpower) when the thaumaturge attempts to 
take control. Each success the victim gains on this roll 
reduces the duration of Marionette by one turn. Victims 
lacking Fortitude do not have the physical resistance to 
defy this effect. 
For the duration of this power, thte thaumaturge 
can cause the victim to perform any physical action, 
using the target's pools with a penalty of +2 difficulty 
to all rolls. The concentration this power requires also 
increases the thaumaurge's own difficulties by two for all other personal actions undertaken while manipulating the victim. To extend the duration of this control, 
the thaumaturge must make a second activation roll. 
Marionette does not rob the victim of her cognizance, 
only physical control over her body. During this time 
of thaumaturge's mastery, the target remains aware 
that some outside force is manipulating her physical actions, 
conscious that they are not her own. The victim may 
spend a point of Willpower to attempt to take a mental 
or social action, such as activating a Discipline or 
speaking.",Rites of the Blood,139
Thaumaturgy,Path of the Focused Mind,1,Readiness,"Using Readiness makes the caster able to gain a quicker 
understanding of a predicament. Enhanced lucidity 
enlightens the caster, allowing increased cleverness and 
better reactions to changing situations.","This power is only usable on the thaumaturge 
herself. Every success on the activation roll adds on die 
to a special dice pool for the remainder of the turn. These 
dice may be used on any Wits-related rolls or actions that 
the thaumaturge performs during this turn. Alternatively, 
each die removed from the dice pool adds one to the 
caster's initiative rating. ",Rites of the Blood,139
Thaumaturgy,Path of the Focused Mind,2,Centering,"By invoking this power, the thaumaturge causes a 
sudden, intense calmness in the subject by whispering 
soothing words to her. While under this serenity, the 
target is better able to focus on tasks at hand, ignoring 
distractions and annoyances, including grave bodily harm. 
Thaumaturges in fear of frenzy often use this power on 
themselves to stifle their own emotions and achieve a 
state of tranquility.","This power is usable on any one subject within 
earshot of the thaumaturge and lasts for one turn per 
success on the activation roll. During this period, the 
target is unaffected by any power or effect (with the 
notable exception of Elder disciplines) that reduces her 
dice pools. This includes wound penalties, situational 
modifiers, and Disciplines. Modifications to difficulty 
numbers still apply during this time, however. In addition, 
due to the unnatural serenity that this power bestows, 
the target receives two additional dice in all attempts to 
avoid or break frenzy.",Rites of the Blood,139-140
Thaumaturgy,Path of the Focused Mind,3,One-Tracked Mind,"By extending her powers to other individuals, the 
thaumaturge is able to fixate the subject on one action. 
This single-mindedness of the target is so complete 
that they ignore everything else that occurs around 
them. Guards are easily distracted with this power, as 
their attention becomes fixated elsewhere, and research 
becomes a dedicated, focused task. Use of this power 
is sometimes colloquially referred tto as ""railroading 
someone.""","This power may affect anyone who can hear 
the thaumaturge. Succesful invocation makes the target 
unable to split any dice pools for multiple actions and 
unable to change tactics after actions have been declared. 
As a side benefit, the target reduces tthe difficulty of the 
declared action by one. Additional actions that the victim 
takes (from Celeritty, for example) during the duration 
of this power must follow up upon their initial action, 
as they concentrate wholly upon this one idea. If the 
target wishes to attempt a different course of action, 
she must spend a point of Willpower per scene (or per 
turn in combat.) The duration of One-Tracked Mind is 
one scene, or one turn per success on the activation roll.",Rites of the Blood,140
Thaumaturgy,Path of the Focused Mind,4,Dual Thought,"The rigors of learning Thaumaturgy strengthen the 
mind and the will of a thaumaturge. As a result, those 
skilled with Thaumaturgy often have the ability to quickly 
assess a situation and calculate the options available to 
them. At this level of mastery of the Focused Mind, 
the thaumaturge is able to divide her attention to two 
completely seperate tasks without penalty or distraction. 
As One-Tracked Mind forces the subject's attenttion into a 
single objecttive, Dual Thought expands the thaumaturge's 
concentration to the point that focus upon two goals is possible.","Succesful use of Dual Thought allow the 
caster to take two actions without penalty during her turn. 
(Note that this power specifically lifts the restrictions of 
multiple actions detailed in V20, P. 248). The extra action 
granted by this power must be a mental action, whether 
it's the use of Disciplines such as the use of Auspex or 
Thaumaturgy, or the contemplation of some problem.
If the character is using both actions to solve a problem, 
she has two seperate dice pools to draw from. These two 
actions happen at the same time, as determined by the 
initiative rating of the character. You may not use the 
extra action to re-cast Dual Thought.",Rites of the Blood,140
Thaumaturgy,Path of the Focused Mind,5,Perfect Clarity,"Perfect Clarity brings about a Zen-like moment of 
focused insight for the thaumaturge as she gains a brief, 
perfect understanding of herself, the universe, and her 
place within it. This lucidity protects the thaumaturge 
from influences both internal and external; even the
Beast within is unable to rage forth. Thought and action 
become one as a complete serenity of the mind descends 
upon the thaumaturge.","Perfect Clarity lasts for the duration of one 
scene, (or one turn plus an additional turn for every 
success on the activation roll if used while in combat). 
For this period, the thaumaturge has the difficulties of 
all actions reduced by two. The Kindred is immune to 
frenzy and Rotschreck from all sources, even supernatural 
triggers. Finally, any means to control or influence the 
thaumaturge suffer a +2 difficulty, including powers such 
as Presence, Dominate, and Dementation.",Rites of the Blood,140
Thaumaturgy,Path of Levinbolt,1,Flicker,"Novice Thaumaturges learn to freely absorb power
around them through electrical outlets, circuits, or 
batteries. A user of this power can sense the current 
feeding into a specific electrical system and then draw
it to her, effectively turning it off.","The thaumaturge simply glances at a target 
powered by electricity. Upon a succesful activation 
roll, she can shut down an electrical device for ten 
minutes per success on the activation roll. The spark 
of electricity arcs from the device directly into the 
thaumaturge in a frightening display of mystical power. 
The source of this power is immediately known.",Rites of the Blood,141
Thaumaturgy,Path of Levinbolt,2,Spark,"Novice thaumaturges can build up a tiny static 
charge, enough to make a noticeable snap with a 
touch. Such a discharge poses little threat to healthy 
targets, though the energy can ruin delicae electronics 
or stun an unlucky victim.","The thaumaturge simply touches a target 
(after the requisite blood expenditure and activation 
roll by the player) and releases the spark. The 
electricity can snap from any part of the caster's body, 
so a thaumaturge might give an unpleasant surprise
to someone touching her. The resulting electrical 
discharge inflicts four dice of lethal damage to targets
(difficulty 7 to soak), and short-circuits electronic 
equipment and devices not specifically grounded 
against lightning strike.
",Rites of the Blood,141
Thaumaturgy,Path of Levinbolt,3,Illuminate,"Neonates sometimes derogatively refer to this effect
as the ""40-watt Tremere,"" right up until they've felt its
sting. The thaumaturge summons enough electricity 
to cover her hand or arm in arcing bolts. This power 
can charge a battery, briefly run a small device, or 
even leave a nasty burn on a touched subject.","Each success scored on the player's 
activation roll translates to approximately one turn of 
power sufficient to run a handful of lights or a small 
electrical device. Alternately, the thaumaturge can 
shock someone by touch, as with the Spark power, 
but for eight dice of lethal electricity damage (difficulty 
8 to soak). 
The current created with this power is not strong 
enough to force its way through less-than-ideal 
conductors, and thus simply inflicts electrical damage 
raw metals, woods, or other matter in the form of a burn 
and discoloration. The thaumaturge can alternately allow 
the electricity to spark around her hand, eyes, or head; 
this creates illumination about equal to a dim light bulb,
and lowers the difficulty of any Intimidation rolls by 2.",Rites of the Blood,141-142
Thaumaturgy,Path of Levinbolt,4,Thor's Fury,"The thaumaturge may strike her enemies from afar as 
though she were a god. She may direct an arc of lightning 
from her body to nearby targets.","The thaumaturge focuses her concentration 
upon her target and then directs hurled bolts via a 
Perception + Science roll (difficulty 6 plus the range 
in yard/meters, maximum 4 yards/meters). Each success 
inflicts a level of lethal damage (difficulty 8 to soak). The 
source of this power is immediately known.",Rites of the Blood,142
Thaumaturgy,Path of Levinbolt,5,Eye of the Storm,"The thaumaturge becomes a shifting, sparkling pillar of 
electrical power. The energy channeled in the Eye of the 
Storm shields her body from virtually any direct harm.","When a thaumaturge spends a Willpower point 
to invoke this power, she solidifies the stored electricity 
inside of her into a mystical barrier that completely 
sorrounds her. The caster becomes immune to any ranged 
attacks. Metal weapons such as swords inflict injury as 
normal for the first sttrike, but are then melted from 
contact with the barrier, and the wielder takes a level 
of lethal damage. Enemies that dare to touch the caster 
suffer two points of aggravated damage (difficulty 8 to 
soak.) Non-mettal weapons, such as wooden stakes, are not 
affected by Eye of the Storm. This power lasts for a single 
turn, with each additional success on the activattion roll 
extending tthis duration by one turn. Mental and social 
attacks may pass through this barrier.",Rites of the Blood,142
Thaumaturgy,Path of Spirit Manipulation,1,Hermetic Sightt,"The vampire can percieve the spirit world, either by 
gazing deeply into it or by seeing the presence of nearby 
spirits as a hazy overlay on the material world.","Hermetic Sight allows the thaumaturge to 
percieve the spirit realm interlaid over the material 
world for one hour. Each additional level of success on 
the activation roll increases the duration of this power 
by an additional thirty minutes.",Rites of the Blood,142-143
Thaumaturgy,Path of Spirit Manipulation,2,Astral Cant,"The languages of the spirit world are infinitely 
varied and mainly incomprehensible to mortal (and 
immortal) minds. Astral Cant does not teach the 
thaumaturge the tongues of the spirits, but it does 
allow him to understand them as they speak to him 
and to reply in their own languages. The use of this 
power is not always necessary; many spirits speak 
human tongues, but choose to feign ignorance when 
dealing with vampires. Spirits are not affected by 
Dominate, buttt may be manipulated by Presence. Some 
thaumaturges theorize that this is because spirits are 
not actually sentient as a vampire would understand 
the concept, but are manifestations based on the 
perception of those that are self-aware.","Astral Cant allows the thaumaturge to speak to 
any spirit visible via Hermetic Sight for fifteen minutes. 
Each additional level of success on the activation roll 
increases the duration of this power by an additional 
fifteen minutes to the duration.",Rites of the Blood,143
Thaumaturgy,Path of Spirit Manipulation,3,Voice of Command,"This is perhaps the most dangerous power in the 
Spirit Manipulation arsenal, for the consequences 
of failure can be particularly unpleasant. Voice of 
Command allows the thaumaturge to issue orders to 
a spirit, compelling it to heed her bidding whether or 
not it desires to do so. 
Spirits compelled by this power are fully aware that 
they are being forced into these actions, and may well 
seek revenge on their erstwhile masters at a later time. 
Thaumaturges who issue commands above and beyond 
what their spirit servants are compelled to perform may 
find themselves ignored or mocked. A trickster spirit 
may agree to a situation to follow orders only to betray 
its master, leaving the thaumaturge in a situation of 
potentially fatal embarressment.","The thaumaturge makes the normal opposed 
Willpower roll against the spirit. The target spirit 
resists with Willpower (difficulty of the thaumaturge's 
Manipulation + Occult). The degree of success the 
thaumaturge attains determines the complexity and 
severity of the command that she can issue.",Rites of the Blood,143
Thaumaturgy,Path of Spirit Manipulation,4,Entrap Ephemera,"This power allows a thaumaturge to bind a spirit into 
a physical object. This can be done to imprison the 
target, but is more often performed to create a fettish - an 
artifact that grants mystical benefits powered by the spirit. 
Fetishes created by this power are often unreliable and 
understandably displeased with their situation and will 
take any opportunity to escape or thwartt their captors. 
Lupines find it offensive f or vampires to possess a fetish, 
and often will frenzy simply at the sight of a vampire 
wielding one.","The thaumaturge must first locate a vessel 
symbolically aligned with the targeted spirit that will 
eventually become the fetish. Then she must command 
the targeted spirit to enter the vessel via an opposed 
Willpower roll. The target spirit resists with Willpower 
(difficulty equals the thaumaturge's Manipulation + 
Occult).
Should the thaumaturge succeed, she can create a fetish 
of a power level based on the number of successes achieved 
over the spirit, up to a level five fetish. For example, if the 
thaumaturge wins the opposed Willpower roll against the 
spirit by three successes, she creates a level three fetish.

Creating and maintaining a fetish is difficult; because of 
this, the number of fetishes a thaumaturge may creatte is 
limited by her Willpower. If the thaumaturge gives away 
said fetish, it still counts against her total available slots. 
She may only create an additional fetish when one of 
her previous fetishes has been destroyed. 
A fetish grants a number of bonus dice to a specific 
skill comparable to the level of the fetish. For example, 
a healing spirit trapped inside a scalpel would grant 
exttra dice (the level of the fetish) for any Medicine roll. 
The Storyteller always has final authority on what sort 
of fetish can be made. 
A fettish is activatted by rolling the user's Willpower 
(difficulty equals the Fetish's power level + 3). A botch 
on this roll destroys the physical component of the fetish 
and frees the spirit that was trapped within.",Rites of the Blood,143-144
Thaumaturgy,Path of Spirit Manipulation,5,Duality,"The thaumaturge can now fully interact with the spirit 
world - a strange place that only sometimes resembles 
the real world. While using this power, she exists on 
both planes of existence at once. She is able to pick up 
objects in the physical world and place them in the spirit 
world and vice versa. Beings and landscape features in 
both realms are solid to her, and she can engage in any 
manner of interaction. She can even use Thaumaturgy 
and other Disciplines in either world. This is not without 
its dangers. With a single misstep, the vampire can find 
himself trapped in the spirit realm with no way to return 
home. Several incautious thaumaturges have starved into 
torpor while trapped on the other side of the barrier that 
seperates the physical and spirit realms.","The thaumaturge may interact with the spirit 
world for fifteen minutes. Each additional level of 
success on the activation roll increases the duration of 
this power by an additional fifteen minutes. Duality can 
only be enacted while the character begins the process in 
the physical world. While in this state, the thaumaturge 
becomes susceptible to attacks from both realms and 
suffers a +1 difficulty to all Perception rolls. The 
character is still considered to be in the physical world 
for purposes of basic physics (and common sense).
Spirits who have been previously angered will seek 
physical revenge on unwary thaumaturges using this power. 
A botch on the roll to activate this power tears the 
vampire out of the physical world and traps him in the 
spirit realm. The way back to the physical realm, if there is 
one, is left to the Storyteller's discretion, and may spark 
an entirely new story.",Rites of the Blood,144
Thaumaturgy,Gift of Morpheus,1,Cause Sleep,The vampire is able to make a person within her line of sight sleepy just by concentrating. The person may still be awakened by loud noise or someone trying to rouse them.,"HR For the activation, the vampire uses the target's Willpower + 3 as the difficulty, maximum of 10. Three successes puts the target to sleep, while one or two reduces the victim's Dice Pools by that amount for the next turn. This power only affects vampires if the user spends a point of Willpower.",Player's Guide to the Sabbat,114
Thaumaturgy,Gift of Morpheus,2,Mass Enslumber,"The vampire can put several individuals to sleep at once. This power only affects mortals, and only those the vampire can see.","HR For activation, the vampire rolls at a difficulty of 8. The number of successes indicates the amount of sleepiness as per Cause Sleep, but each target is affected to the same extent.",Player's Guide to the Sabbat,114
Thaumaturgy,Gift of Morpheus,3,Enchanted Slumber,"The vampire can cause mortals and even Kindred to fall into an enchanted slumber from which they cannot awaken until a certain task has been performed (such as a kiss from Prince Charming). The vampire must decide what special condition must be met for the victim to awaken. While the condition does not have to be easy, it should not be impossible.","HR The vampire must roll to determine how long the person can be kept under the enchantment before it wears off on its own. The number of successes on the activation, difficulty equal to the target's current Willpower, determines the maximum duration the victim sleeps should the task to break the enchantment remain unfulfilled. Victims do not recover Willpower as they slumber, their mind and perception are imprisoned in dreams. The user must also spend a Willpower point to affect vampires.

- 1 Success: One Turn
- 2 Successes: One Night
- 3 Successes: One Week
- 4 Successes: One Month
- 5 Successes: One Year
- 6 Successes: Three Years
- 7 Successes: One Decade
- 8 Successes: One Century
- 9 Successes: One Millenium
- 10 Successes: Permanently until the task is fulfilled. No attempts to escape other than the condition assigned at activation.

Vampire victims enchanted this way can spend a point of Willpower to attempt to escape from their slumber once at the frequency based on the successes minus one. This attempt is immediate at the start of the slumber. The victim rolls their current Willpower, difficulty equal to the number of successes rolled by the thaumaturge +5, maximum of 10. A single success is enough to rouse the victim from their sleep; for every difficulty above 10, an extra success is required.

e.g. A victim was enchanted to fall asleep for one turn, they may spend 1 Willpower point to immediately roll to awaken before their turn is forfeited.

e.g. A victim was enchanted to fall asleep for One Week. Each night, they may spend 1 Willpower point to attempt to awaken before the enchantment is over.

e.g. A victim was enchanted to fall asleep for One Year. Every month, they may spend 1 Willpower point to attempt to awaken before the enchantment is over.",Player's Guide to the Sabbat,114
Thaumaturgy,Gift of Morpheus,4,Dreamscape,"This power lets the vampire telepathically project his own image into the mind of a sleeper. The vampire has no real control over the dream, but may utilize any Disciplines or Abilities he posseses in real life while inside the dream. The sleeper may or may not remember the vampire in her dreams, depending on how well they usually remember their dreams.","HR The vampire must possess something belonging to their sleeping target and succeed on an activation roll, difficulty equal to the target's Willpower, even if the victim is willing. There is no limit to the distance so long as you fulfill the requirements. The effects lasts for the length of one dream, though a dream can essentially last days, weeks, months, or even years, depending on the dreamer's perception of time (determined by the dreamer).",Player's Guide to the Sabbat,114
Thaumaturgy,Gift of Morpheus,5,Master of Dreams,"The Master of Dreams controls the dreams of the sleeper, shaping them as she wills. The vampire is able to make the person remember or forget their dreams. She may manipulate them in any way she can imagine, even inducing the death of the dreamer from sheer terror. Combat can be handled normally; the vampire and dreamer may use all of their capabilities as if they were awake. If either dies, the death is permanent.","HR The vampire enters the dream as per Dreamscape, but to affect the dream in any substantial way, they must roll a Manipulation + Empathy, difficulty 7. Note that once the vampire begins to manipulate the dream, the victim can do the same, using the same roll. If both attempt to manipulate the dream during the same round of combat, whoever has the most accumulated successes in any one turn determines what course the dream will take. The Master of Dreams must spend a point of Willpower to affect the dreams of Kindred this way.",Player's Guide to the Sabbat,114
Thaumaturgy,Alchemy,1,Alchemy,"Thaumaturgy has some of its roots in the early
practices of Hermetic alchemy, which concerned itself
with changing the properties of given ideals. Indeed,
much of Thaumaturgy’s codifi ed structure and basic
principles are very similar to those of alchemy.
In the near-millennium that has passed since the
Tremere’s earliest efforts with blood magic, alchemy
has fallen by the wayside, however. Modern technology
makes possible almost anything this path can do and
far more — it is easier and more reliable to mine for
gold, for example, than it is to create it by transmuting
other materials. Still, old habits die hard among vampires,
and the Tremere are no exception. A few elders
still practice this path, and of these, some still teach it
to their childer to illustrate the basic tenets of modern
blood magic.
 The number of successes on the activation
roll determines how radically a thaumaturge may alter a
given compound’s form. He need not use all his successes
— a thaumaturge wishing to effect only a simple change
of form need not turn lead into gold if he accumulates
fi ve successes. The thaumaturge must, however, acquire
at least the minimum number of successes suggested by
the table below to generate the effect he seeks.
Changing one element into another requires familiarity
with both elements. One cannot suddenly decide
he wants to change a balloon’s worth of helium into a
sphere of solid titanium if he has never dealt with either
of those elements before. Simply knowing an atomic
number is not enough to warp the laws of nature so radically.
It is worthwhile to note, however, that Alchemy
makes no distinction between naturally occurring and
man-made elements — it affects Einsteinium as readily
as it affects carbon.
Note also that this path has fallen out of practice
because it is less useful in modern nights than it was
in the past. Transmutations create Hermetic “ideals”
rather than perfect real-world resources which cannot
be broken down into lesser constructs. A hunk of gold
is a hunk of gold — an attempt to cast coins with it will
reduce the hunk to a pile of inert sludge. Before you ask
— yes, this means your Tremere anarch will not be able
to create nuclear bombs by turning the prince’s shoes
into uranium. There’s nothing wrong with converting
lead into gold and selling that hunk of gold to someone
else, however — caveat emptor!
Note: Storytellers are encouraged to apply this
principle to the use of the Path of Conjuring as well.
Characters who try to conjure “antimatter” or create
weapons of mass destruction magically should be subtly
but reasonably discouraged.
Also, use of this path assumes the thaumaturge
works with the elements in a laboratory-style (or at
least controlled) environment. No vampire will be able
to walk down the street and turn the iron in people’s
blood to helium with a simple touch.
A vampire’s knowledge of Alchemy determines how
greatly she may change a given element.
• Simple changes in form — solid to
liquid, liquid to gas, etc.
•• Complex changes to form — liquid to
a specifi c shape of solid, water to separate hydrogen and
oxygen gas clouds, etc.
••• Complicated changes to form — water
to breathable O2 and loose H2, compounds into separate
elements, etc.
•••• Minor shifts in composition, such as
adjusting an element’s atomic number up to fi ve greater
or less than its original designation.
••••• Miraculous shifts in composition, such
as turning lead into gold or nitrogen into radium.",,Blood Magic: Secrets of Thaumaturgy,68-69
Thaumaturgy,Alchemy,2,Alchemy,"Thaumaturgy has some of its roots in the early
practices of Hermetic alchemy, which concerned itself
with changing the properties of given ideals. Indeed,
much of Thaumaturgy’s codifi ed structure and basic
principles are very similar to those of alchemy.
In the near-millennium that has passed since the
Tremere’s earliest efforts with blood magic, alchemy
has fallen by the wayside, however. Modern technology
makes possible almost anything this path can do and
far more — it is easier and more reliable to mine for
gold, for example, than it is to create it by transmuting
other materials. Still, old habits die hard among vampires,
and the Tremere are no exception. A few elders
still practice this path, and of these, some still teach it
to their childer to illustrate the basic tenets of modern
blood magic.
 The number of successes on the activation
roll determines how radically a thaumaturge may alter a
given compound’s form. He need not use all his successes
— a thaumaturge wishing to effect only a simple change
of form need not turn lead into gold if he accumulates
fi ve successes. The thaumaturge must, however, acquire
at least the minimum number of successes suggested by
the table below to generate the effect he seeks.
Changing one element into another requires familiarity
with both elements. One cannot suddenly decide
he wants to change a balloon’s worth of helium into a
sphere of solid titanium if he has never dealt with either
of those elements before. Simply knowing an atomic
number is not enough to warp the laws of nature so radically.
It is worthwhile to note, however, that Alchemy
makes no distinction between naturally occurring and
man-made elements — it affects Einsteinium as readily
as it affects carbon.
Note also that this path has fallen out of practice
because it is less useful in modern nights than it was
in the past. Transmutations create Hermetic “ideals”
rather than perfect real-world resources which cannot
be broken down into lesser constructs. A hunk of gold
is a hunk of gold — an attempt to cast coins with it will
reduce the hunk to a pile of inert sludge. Before you ask
— yes, this means your Tremere anarch will not be able
to create nuclear bombs by turning the prince’s shoes
into uranium. There’s nothing wrong with converting
lead into gold and selling that hunk of gold to someone
else, however — caveat emptor!
Note: Storytellers are encouraged to apply this
principle to the use of the Path of Conjuring as well.
Characters who try to conjure “antimatter” or create
weapons of mass destruction magically should be subtly
but reasonably discouraged.
Also, use of this path assumes the thaumaturge
works with the elements in a laboratory-style (or at
least controlled) environment. No vampire will be able
to walk down the street and turn the iron in people’s
blood to helium with a simple touch.
A vampire’s knowledge of Alchemy determines how
greatly she may change a given element.
• Simple changes in form — solid to
liquid, liquid to gas, etc.
•• Complex changes to form — liquid to
a specifi c shape of solid, water to separate hydrogen and
oxygen gas clouds, etc.
••• Complicated changes to form — water
to breathable O2 and loose H2, compounds into separate
elements, etc.
•••• Minor shifts in composition, such as
adjusting an element’s atomic number up to fi ve greater
or less than its original designation.
••••• Miraculous shifts in composition, such
as turning lead into gold or nitrogen into radium.",,Blood Magic: Secrets of Thaumaturgy,68-69
